Business Simulator — cost-effectiveness model
Generated by scripts/build-concept-note.py. Do not edit by hand.

INPUTS
Parameter,Value,Source,Note
Stage-0 starts in the pilot,"3,000",assumption,Nobody has chosen a recruitment channel yet (Q-039).
Share of starts that finish chapter 1,35%,assumption,Untested. No completion data exists for any build.
Share of finishers who submit a forecast,20%,assumption,The portal does not exist yet (Q-035).
Grants awarded at stage 1,50,owner,"USD 50,000 ÷ 1,000 (D-035)."
"Stage-1 grant, USD","$1,000",owner,D-034.
"Recruitment cost per stage-0 start, USD",$2.00,assumption,Blended word-of-mouth and paid; wholly channel-dependent.
"One-off build: portal, backend, AI judge, USD",$100,owner,"Built with an AI coding agent, not a dev team. Owner's figure."
"AI marking cost per submission, USD",$0.01,owner,"Owner's figure. Model inference, including follow-up probes."
"Six-month review per funded firm, USD",$150,assumption,"Mostly asynchronous: photos, portal, one call."
"Hosting and data for one cohort, USD",$200,assumption,Stage 0 is a static PWA; this is close to a floor.
Programme administration overhead,15%,assumption,
Share of funded firms that become transformational,6%,assumption,THE critical unknown. The pilot exists to measure it (Q-034).
Jobs at the point of the grant,5,assumption,"Where the firm starts, not where it ends."
Annual growth in jobs,12%,assumption,Building an organisation larger than the founder is the definition of transformational (AGENTS.md §2).
"Annual survival probability, transformational firm",92%,assumption,Replaces a hard cut-off year. A firm still trading keeps producing.
"Horizon, transformational firm",15 years,assumption,Survival does the decaying; the horizon only bounds the sum.
"Annual income gain per job, USD",$600,assumption,"Gain over the counterfactual occupation, not the wage."
"Owner's own net income gain, as a share of the wage bill",35%,assumption,"Net of tax, so it does not double-count the tax line."
"Tax paid, as a share of the wage bill",25%,assumption,"Formalisation is what chapters 3–4 teach. Paid out of profit, so no double count with owner income."
Value of $1 of public revenue vs $1 of private income,1,assumption,"1.0 treats tax as neutral. Argue up for public goods, down for leakage. Set to 0 to exclude tax entirely."
"Local supplier income gain, as a share of the wage bill",30%,assumption,Backward linkages — the firm buys inputs from local suppliers and develops them.
Displacement share — transformational firm,15%,assumption,Lower than a livelihood firm: new markets and exports displace less than another shop on the same street.
Share of transformational outcomes that would have happened anyway,50%,assumption,"These are, by selection, the most capable applicants."
"Annual income gain, non-transformational funded firm, USD",$450,assumption,Capital stays in a working business rather than being consumed.
"Annual survival probability, other funded firm",85%,assumption,
"Horizon, other funded firm",8 years,assumption,
Displacement share — livelihood firm,40%,assumption,High: mostly competing for the same local customers.
Counterfactual share for non-transformational firms,20%,assumption,
"Annual income gain per unfunded finisher, USD",$12,assumption,"Small per head, large N. Genuinely unmeasured."
Years the learning gain persists,2 years,assumption,
Uncertainty haircut on the learning effect,50%,assumption,Generic business training has a weak evidence base.
"Annual income gain from a USD 1,000 cash transfer",$270,unverified,Roughly GiveDirectly-shaped. NOT checked against a source.
"GiveWell funding bar, multiples of the cash benchmark",6×,sourced,"givewell.org, cost-effectiveness models page, stated as of May 2026."
Years the cash-transfer gain persists,3 years,unverified,
"Stage-2 fixed tranche, USD","$10,000",assumption,Owner: the least that reveals absorptive capacity (D-038).
Share of stage-1 firms advancing to stage 2,24%,assumption,
"Stage-3 fixed tranche, USD","$60,000",assumption,
Share of stage-2 firms advancing to stage 3,25%,assumption,
